airport_name,cancel_reason,num_cancelled
"San Diego, CA",A,82
"San Francisco, CA",A,190
"San Jose, CA",A,76
"San Juan, PR",A,28
"San Luis Obispo, CA",A,2
"Santa Ana, CA",A,38
"Santa Barbara, CA",A,8
"Santa Fe, NM",A,8
"Santa Rosa, CA",B,2
"Sarasota/Bradenton, FL",A,4
"Savannah, GA",C,42
"Scranton/Wilkes-Barre, PA",B,10
"Seattle, WA",A,70
"Shreveport, LA",C,8
"Sioux Falls, SD",A,10
"Sitka, AK",B,2
"South Bend, IN",A,4
"Spokane, WA",A,12
"Springfield, IL",C,4
"Springfield, MO",A,8
"St. Louis, MO",C,130
"St. Petersburg, FL",A,4
"Stillwater, OK",C,6
"Stockton, CA",A,4
"Syracuse, NY",C,40
"Tallahassee, FL",B,12
"Tampa, FL",A,74
"Texarkana, AR",C,6
"Toledo, OH",B,2
"Traverse City, MI",C,16
"Trenton, NJ",A,14
"Tucson, AZ",A,8
"Tulsa, OK",A,18
"Tyler, TX",A,6
"Valdosta, GA",C,2
"Valparaiso, FL",A,24
"Vernal, UT",B,2
"Waco, TX",A,12
"Washington, DC",C,354
"Washington, DC",A,62
"Waterloo, IA",B,4
"West Palm Beach/Palm Beach, FL",B,22
"White Plains, NY",B,14
"Wichita Falls, TX",A,8
"Wichita, KS",B,10
"Wilmington, NC",C,16
"Worcester, MA",C,4
